Species	Woodiness	Original names
Agrostis tsaratananensis	herbaceous	['Agrostis tsaratananensis']
Agrostis tsiafajavonensis	herbaceous	['Agrostis tsiafajavonensis']
Agrostis tsitondroinensis	herbaceous	['Agrostis tsitondroinensis']
Agrostis turrialbae	herbaceous	['Agrostis turrialbae']
Agrostis tuvinica	herbaceous	['Agrostis tuvinica']
Agrostis uliginosa	herbaceous	['Agrostis uliginosa']
Agrostis umbellata	herbaceous	['Agrostis umbellata']
Agrostis ushae	herbaceous	['Agrostis ushae']
Agrostis valvata	herbaceous	['Agrostis nipponensis']
Agrostis variabilis	herbaceous	['Agrostis variabilis']
Agrostis venezuelana	herbaceous	['Agrostis venezuelana']
Agrostis venusta	herbaceous	['Agrostis venusta']
Agrostis verticillata	herbaceous	['Agrostis verticillata']
Agrostis vidalii	herbaceous	['Agrostis vidalii']
Agrostis vinealis	herbaceous	['Agrostis kunmingensis', 'Agrostis planifolia', 'Agrostis trinii', 'Agrostis vinealis']
Agrostis virescens	herbaceous	['Agrostis virescens']
Agrostis volkensii	herbaceous	['Agrostis volkensii']
Agrostis wacei	herbaceous	['Agrostis wacei']
Agrostis zenkeri	herbaceous	['Calamagrostis zenkeri']
Agrostistachys borneensis	woody	['Agrostistachys borneensis']
Agrostistachys gaudichaudii	woody	['Agrostistachys gaudichaudii']
Agrostistachys longifolia	not assigned	['Agrostistachys longifolia']
Agrostocrinum scabrum	herbaceous	['Agrostocrinum scabrum']
Agrostophyllum stipulatum	herbaceous	['Agrostophyllum bicuspidatum']
Ahernia glandulosa	not assigned	['Ahernia glandulosa']
Aichryson bollei	not assigned	['Aichryson bollei']
Aichryson divaricatum	not assigned	['Aichryson divaricatum']
Aichryson laxum	herbaceous	['Aichryson dichotomum', 'Aichryson laxum']
Aichryson palmense	not assigned	['Aichryson palmense']
Aichryson parlatorei	not assigned	['Aichryson parlatorei']
Aichryson punctatum	not assigned	['Aichryson punctatum']
Aichryson villosum	not assigned	['Aichryson villosum']
Aidia cochinchinensis	not assigned	['Aidia cochinchinensis']
Aidia densiflora	not assigned	['Randia oppositifolia']
Aidia genipiflora	woody	['Aidia genipiflora']
Aidia jambosoides	not assigned	['Gynopachis jambosoides']
Aidia micrantha	woody	['Aidia micrantha', 'Randia congolana']
Aidia ochroleuca	woody	['Aidia ochroleuca']
Aidia racemosa	woody	['Aidia racemosa']
Ailanthus altissima	woody	['Ailanthus altissima', 'Ailanthus glandulosa', 'Ailanthus peregrina']
Ailanthus excelsa	woody	['Ailanthus excelsa']
Ailanthus fordii	woody	['Ailanthus fordii']
Ailanthus integrifolia	woody	['Ailanthus grandis', 'Ailanthus integrifolia', 'Ailanthus peekelii']
Ailanthus triphysa	woody	['Ailanthus malabarica', 'Ailanthus triphysa']
Ainsworthia cordata	herbaceous	['Tordylium cordatum']
Ainsworthia trachycarpa	herbaceous	['Ainsworthia trachycarpa', 'Tordylium trachycarpum']
Aiouea chavarriana	woody	['Cinnamomum chavarrianum']
Aiouea effusa	woody	['Cinnamomum barbeyanum', 'Cinnamomum effusum']
Aiouea grandifolia	woody	['Aiouea grandifolia']
Aiouea guianensis	woody	['Aiouea guianensis']
Aiouea impressa	woody	['Aiouea impressa']
Aiouea montana	woody	['Cinnamomum montanum', 'Cinnamomum stereophyllum', 'Cinnamomum triplinerve', 'Phoebe cinnamomifolia', 'Phoebe elongata', 'Phoebe mexicana']
Aiouea napoensis	woody	['Cinnamomum napoense']
Aiouea neurophylla	not assigned	['Phoebe neurophylla']
Aiouea pachypoda	not assigned	['Cinnamomum pachypodum', 'Persea pachypoda']
Aiouea saligna	woody	['Aiouea saligna']
Aiouea zapatae	woody	['Cinnamomum zapatae']
Aiphanes horrida	not assigned	['Aiphanes aculeata']
Aiphanes ulei	not assigned	['Aiphanes ulei']
Aira caryophyllea	herbaceous	['Aira caryophyllea']
Aira cupaniana	herbaceous	['Aira cupaniana']
Aira elegans	herbaceous	['Aira elegans', 'Aira elegantissima']
Aira praecox	herbaceous	['Aira praecox']
Aira provincialis	herbaceous	['Aira provincialis']
Aira scoparia	herbaceous	['Aira scoparia']
Aira tenorei	herbaceous	['Aira tenorii']
Aira uniaristata	herbaceous	['Aira uniaristata']
Airopsis tenella	herbaceous	['Airopsis tenella']
Aistopetalum viticoides	woody	['Aistopetalum viticoides']
Aizoanthemopsis hispanica	woody	['Aizoon hispanicum']
Aizoanthemum dinteri	herbaceous	['Aizoanthemum dinteri']
Aizoanthemum galenioides	herbaceous	['Aizoanthemum galenioides']
Aizoanthemum rehmannii	herbaceous	['Aizoanthemum rehmannii']
Aizoon africanum	herbaceous	['Galenia africana']
Aizoon canariense	woody	['Aizoon canariense']
Aizoon fruticosum	herbaceous	['Galenia fruticosa']
Aizoon paniculatum	woody	['Aizoon paniculatum']
Aizoon pubescens	herbaceous	['Galenia pubescens']
Aizoon rigidum	woody	['Aizoon rigidum']
Aizoon sarcophyllum	woody	['Galenia sarcophylla']
Aizoon secundum	woody	['Galenia secunda']
Aizoon sericeum	woody	['Plinthus sericeus']
Aizoon virgatum	woody	['Aizoon virgatum']
Ajania fruticulosa	conflicting (herbaceous vs. woody)	['Ajania fruticulosa']
Ajania pallasiana	herbaceous	['Chrysanthemum pallasianum']
Ajania parviflora	herbaceous	['Ajania parviflora']
Ajania tibetica	herbaceous	['Ajania tibetica']
Ajuga australis	herbaceous	['Ajuga australis']
Ajuga chamaepitys	herbaceous	['Ajuga chamaepitys', 'Ajuga chia']
Ajuga ciliata	herbaceous	['Ajuga ciliata']
Ajuga genevensis	herbaceous	['Ajuga genevensis']
Ajuga hybrida	not assigned	['Ajuga hybrida']
Ajuga integrifolia	herbaceous	['Ajuga remota']
Ajuga iva	conflicting (herbaceous vs. woody)	['Ajuga iva']
Ajuga multiflora	herbaceous	['Ajuga multiflora']
Ajuga orientalis	herbaceous	['Ajuga orientalis']
Ajuga pseudopyramidalis	not assigned	['Ajuga hampeana']
Ajuga pyramidalis	herbaceous	['Ajuga pyramidalis']
Ajuga reptans	herbaceous	['Ajuga reptans']
Akania bidwillii	woody	['Akania bidwillii', 'Cupania lucens']
Akebia quinata	woody	['Akebia quinata']
Akebia trifoliata	woody	['Akebia lobata', 'Akebia trifoliata']
Akhania carpatha	not assigned	['Salsola carpatha']
Alafia barteri	not assigned	['Alafia barteri']
Alafia caudata	woody	['Alafia caudata']
Alafia landolphioides	woody	['Alafia landolphioides']
Alafia lucida	woody	['Alafia lucida']
Alafia microstylis	not assigned	['Alafia microstylis']
Alafia multiflora	woody	['Alafia multiflora']
Alafia orientalis	not assigned	['Alafia orientalis']
Alafia zambesiaca	woody	['Alafia zambesiaca']
Alangium alpinum	woody	['Alangium alpinum']
Alangium chinense	woody	['Alangium chinense']
Alangium grisolleoides	woody	['Alangium grisolleoides']
Alangium havilandii	woody	['Alangium havilandii']
Alangium javanicum	woody	['Alangium javanicum']
Alangium kurzii	woody	['Alangium kurzii']
Alangium longiflorum	woody	['Alangium longiflorum', 'Alangium longifolium']
Alangium maliliense	woody	['Alangium maliliense']
Alangium nobile	woody	['Alangium nobile']
Alangium platanifolium	woody	['Alangium platanifolium']
Alangium premnifolium	woody	['Alangium premnifolium']
Alangium ridleyi	woody	['Alangium ridleyi']
Alangium rotundifolium	woody	['Alangium rotundifolium']
Alangium salviifolium	woody	['Alangium lamarckii', 'Alangium salviifolium']
Alangium uniloculare	woody	['Alangium griffithii']
Alangium villosum	woody	['Alangium villosum']
Alansmia cultrata	(fern)	['Xiphopteris cultrata']
Alantsilodendron alluaudianum	woody	['Alantsilodendron alluaudianum']
Alantsilodendron decaryanum	woody	['Alantsilodendron decaryanum']
Alantsilodendron humbertii	not assigned	['Dichrostachys humbertii']
Alantsilodendron pilosum	not assigned	['Alantsilodendron pilosum']
Alberta magna	woody	['Alberta magna']
Alberta minor	not assigned	['Alberta minor']
Albertisia delagoensis	woody	['Epinetrum delagoense']
Albertisia exelliana	not assigned	['Epinetrum exellianum']
Albizia acle	woody	['Albizia acle']
Albizia adianthifolia	woody	['Albizia adianthifolia']
Albizia adinocephala	woody	['Albizia adinocephala']
Albizia altissima	woody	['Albizia alfissimum', 'Albizia altissima', 'Cathormion altissimum']
Albizia amara	woody	['Albizia amara']
Albizia anthelmintica	woody	['Albizia anthelmintica']
Albizia antunesiana	woody	['Albizia antunesiana']
Albizia arenicola	woody	['Albizia arenicola']
Albizia atakataka	woody	['Albizia atakataka']
Albizia aurisparsa	woody	['Albizia aurisparsa']
Albizia balabaka	woody	['Albizia balabaka']
Albizia bernieri	woody	['Albizia bernieri']
Albizia berteroana	not assigned	['Pseudalbizzia berteroana']
Albizia boinensis	woody	['Albizia boinensis']
Albizia boivinii	woody	['Albizia boivini', 'Albizia boivinii']
Albizia brevifolia	woody	['Albizia brevifolia']
Albizia carbonaria	woody	['Albizia sumatrana']
Albizia chevalieri	woody	['Albizia chevalieri']
Albizia chinensis	woody	['Albizia chinensis', 'Albizia stipulata']
Albizia commiphoroides	woody	['Albizia commiphoroides']
Albizia coriaria	woody	['Albizia coriaria']
Albizia dinklagei	woody	['Albizia dinklagei']
Albizia elegans	woody	['Albizia elegans']
Albizia ferruginea	woody	['Albizia ferruginea']
Albizia forbesii	woody	['Albizia forbesii']
Albizia glaberrima	woody	['Albizia glaberrima']
Albizia grandibracteata	woody	['Albizia grandibracteata']
Albizia greveana	woody	['Albizia greveana\xa0']
Albizia gummifera	woody	['Albizia gummifera']
Albizia harveyi	woody	['Albizia harveyi']
Albizia inundata	woody	['Albizia inundata']
Albizia isenbergiana	woody	['Albizia isenbergiana']
Albizia julibrissin	woody	['Albizia arunachalensis', 'Albizia julibrissin', 'Albizzia julibrissin']
Albizia kalkora	woody	['Acacia macrophylla', 'Albizia kalkora']
Albizia lebbeck	woody	['Acacia lebbeck', 'Albizia lebbeck', 'Albizia lebbek']
Albizia lebbeckioides	woody	['Albizia lebbeckioides']
Albizia lebbekoides	woody	['Albizia lebbekoides']
Albizia lucidior	woody	['Albizia lucidior']
Albizia mahalao	woody	['Albizia mahalao']
Albizia malacophylla	woody	['Albizia malacophylla']
Albizia masikororum	woody	['Albizia masikororum']
Albizia multiflora	woody	['Albizia multiflora', 'Albizia paucipinnata']
Albizia niopoides	woody	['Albizia niopoides']
Albizia occidentalis	woody	['Albizia occidentalis', 'Hesperalbizia occidentalis']
Albizia odorata	woody	['Albizia odorata']
Albizia odoratissima	woody	['Albizia odoratissima']
Albizia pedicellata	woody	['Albizia pedicellata']
Albizia petersiana	woody	['Albizia petersiana']
Albizia pistaciifolia	woody	['Albizia pistaciifolia']
Albizia polycephala	woody	['Albizia polycephala']
Albizia polyphylla	woody	['Albizia polyphylla']
Albizia procera	woody	['Albizia procera', 'Mimosa elata']
Albizia retusa	woody	['Albizia retusa']
Albizia rosulata	not assigned	['Pithecellobium rosulatum']
Albizia saponaria	woody	['Albizia saponaria']
Albizia schimperiana	woody	['Albizia schimperiana']
Albizia species	not assigned	['Albizia lucida', 'Albizia marginata', 'Albizia pubescens']
Albizia splendens	woody	['Albizia splendens']
Albizia tanganyicensis	woody	['Albizia tanganyicensis']
Albizia thompsonii	woody	['Albizia thompsonii']
Albizia tomentella	woody	['Albizia tomentella']
Albizia tomentosa	woody	['Albizia purpusii', 'Albizia tomentosa']
Albizia tulearensis	woody	['Albizia tulearensis']
Albizia umbrosa	woody	['Albizia umbrosa']
Albizia versicolor	woody	['Albizia versicolor']
Albizia viridis	woody	['Albizia viridis']
Albizia zimmermannii	woody	['Albizia zimmermannii']
Albizia zygia	woody	['Albizia zygia']
Albizzia species	not assigned	['Albizzia chinensis', 'Albizzia odoratissima', 'Albizzia procera']
Albuca acuminata	herbaceous	['Albuca acuminata']
Albuca bracteata	herbaceous	['Ornithogalum longibracteatum']
Albuca canadensis	herbaceous	['Albuca altissima', 'Albuca canadensis', 'Albuca maxima']
Albuca cooperi	herbaceous	['Albuca cooperi']
Albuca donaldsonii	herbaceous	['Ornithogalum donaldsonii']
Albuca fastigiata	herbaceous	['Albuca fastigiata']
Albuca fragrans	herbaceous	['Albuca fragrans']
Albuca glauca	herbaceous	['Albuca glauca']
Albuca nelsonii	herbaceous	['Albuca nelsonii']
Albuca nigritana	herbaceous	['Albuca nigritana']
Albuca pulchra	herbaceous	['Ornithogalum pulchrum']
Albuca setosa	herbaceous	['Albuca setosa']
Albuca shawii	herbaceous	['Albuca shawii']
Albuca stapffii	herbaceous	['Ornithogalum stapffii']
Alcantarea regina	herbaceous	['Alcantarea regina', 'Vriesea regina']
Alcea acaulis	herbaceous	['Alcea acaulis']
Alcea biennis	not assigned	['Alcea biennis']
Alcea digitata	herbaceous	['Alcea digitata']
Alcea kurdica	herbaceous	['Alcea kurdica']
Alcea pallida	herbaceous	['Alcea pallida']
Alcea rosea	herbaceous	['Alcea rosea']
Alcea rufescens	herbaceous	['Alcea rufescens', 'Althaea rufescens']
Alcea rugosa	herbaceous	['Alcea rugosa']
Alcea setosa	herbaceous	['Alcea setosa', 'Althaea setosa']
Alcea striata	herbaceous	['Alcea striata']
Alcea wilhelminae	herbaceous	['Alcea lineariloba']
Alchemilla alpigena	not assigned	['Alchemilla alpigena', 'Alchemilla scintillans']
Alchemilla alpina	herbaceous	['Alchemilla alpina', 'Alchemilla anisiana']
Alchemilla amphisericea	not assigned	['Alchemilla amphisericea']
Alchemilla caucasica	herbaceous	['Alchemilla caucasica']
Alchemilla chirophylla	not assigned	['Alchemilla chirophylla']
Alchemilla colorata	not assigned	['Alchemilla colorata']
Alchemilla compta	not assigned	['Alchemilla compta']
Alchemilla conjuncta	herbaceous	['Alchemilla conjuncta']
Alchemilla connivens	not assigned	['Alchemilla cleistophylla', 'Alchemilla connivens']
Alchemilla coriacea	not assigned	['Alchemilla coriacea']
Alchemilla crinita	not assigned	['Alchemilla crinita']
Alchemilla cryptantha	herbaceous	['Alchemilla cryptantha']
Alchemilla cymatophylla	not assigned	['Alchemilla cymatophylla']
Alchemilla decumbens	not assigned	['Alchemilla decumbens']
Alchemilla effusa	not assigned	['Alchemilla effusa']
Alchemilla elisabethae	herbaceous	['Alchemilla elisabethae']
Alchemilla ellenbeckii	herbaceous	['Alchemilla ellenbeckii']
Alchemilla erythropoda	herbaceous	['Alchemilla erythropoda']
Alchemilla exigua	not assigned	['Alchemilla exigua']
Alchemilla fallax	not assigned	['Alchemilla fallax']
Alchemilla filicaulis	herbaceous	['Alchemilla filicaulis', 'Alchemilla minima', 'Alchemilla vestita']
Alchemilla firma	not assigned	['Alchemilla firma']
Alchemilla fissa	conflicting (herbaceous vs. woody)	['Alchemilla fissa']
Alchemilla flabellata	not assigned	['Alchemilla flabellata']
Alchemilla flexicaulis	not assigned	['Alchemilla flexicaulis']
Alchemilla fluminea	herbaceous	['Alchemilla fluminea']
Alchemilla glabra	herbaceous	['Alchemilla glabra']
Alchemilla glacialis	not assigned	['Alchemilla glacialis']
Alchemilla glaucescens	herbaceous	['Alchemilla glaucescens']
Alchemilla glomerulans	herbaceous	['Alchemilla glomerulans']
Alchemilla grossidens	not assigned	['Alchemilla grossidens']
Alchemilla helvetica	not assigned	['Alchemilla helvetica']
Alchemilla heteropoda	not assigned	['Alchemilla heteropoda']
Alchemilla hirtipes	not assigned	['Alchemilla hirtipes']
Alchemilla hoppeana	not assigned	['Alchemilla hoppeana']
Alchemilla hybrida	herbaceous	['Alchemilla hybrida']
Alchemilla impexa	not assigned	['Alchemilla impexa']
Alchemilla incisa	not assigned	['Alchemilla incisa']
Alchemilla inconcinna	not assigned	['Alchemilla inconcinna']
Alchemilla kerneri	not assigned	['Alchemilla kerneri']
Alchemilla kiwuensis	herbaceous	['Alchemilla kiwuensis']
Alchemilla lineata	not assigned	['Alchemilla lineata']
Alchemilla lunaria	not assigned	['Alchemilla lunaria']
Alchemilla micans	herbaceous	['Alchemilla micans']
Alchemilla mollis	herbaceous	['Alchemilla mollis']
Alchemilla monticola	herbaceous	['Alchemilla monticola']
Alchemilla nitida	not assigned	['Alchemilla nitida']
Alchemilla obscura	not assigned	['Alchemilla obscura']
Alchemilla obtusa	not assigned	['Alchemilla obtusa']
Alchemilla othmarii	not assigned	['Alchemilla othmari']
Alchemilla pallens	not assigned	['Alchemilla pallens']
Alchemilla pentaphyllea	herbaceous	['Alchemilla pentaphylla', 'Alchemilla pentaphyllea']
Alchemilla petiolulans	not assigned	['Alchemilla petiolulans']
Alchemilla plicata	not assigned	['Alchemilla plicata']
Alchemilla propinqua	herbaceous	['Alchemilla propinqua']
Alchemilla reniformis	not assigned	['Alchemilla reniformis']
Alchemilla rubristipula	not assigned	['Alchemilla rubristipula']
Alchemilla saxatilis	not assigned	['Alchemilla saxatilis']
Alchemilla semisecta	not assigned	['Alchemilla semisecta']
Alchemilla sericata	herbaceous	['Alchemilla rigida', 'Alchemilla sericata']
Alchemilla sericea	herbaceous	['Alchemilla sericea']
Alchemilla sericoneura	not assigned	['Alchemilla cuspidens']
Alchemilla sinuata	not assigned	['Alchemilla sinuata']
Alchemilla species	not assigned	['Alchemilla acutiloba', 'Alchemilla gracilis', 'Alchemilla pubescens', 'Alchemilla pyrenaica']
Alchemilla splendens	herbaceous	['Alchemilla splendens']
Alchemilla straminea	not assigned	['Alchemilla straminea']
Alchemilla strigosula	not assigned	['Alchemilla strigosula']
Alchemilla subcrenata	herbaceous	['Alchemilla subcrenata']
Alchemilla subglobosa	herbaceous	['Alchemilla subglobosa']
Alchemilla tenuis	not assigned	['Alchemilla tenuis']
Alchemilla tirolensis	not assigned	['Alchemilla tirolensis']
Alchemilla trunciloba	not assigned	['Alchemilla trunciloba']
Alchemilla tytthantha	not assigned	['Alchemilla tytthantha']
Alchemilla undulata	not assigned	['Alchemilla undulata']
Alchemilla vaccariana	not assigned	['Alchemilla vaccariana']
Alchemilla valdehirsuta	herbaceous	['Alchemilla valdehirsuta']
Alchemilla velebitica	not assigned	['Alchemilla plicatula']
Alchemilla venosula	not assigned	['Alchemilla gracillima']
Alchemilla versipila	woody	['Alchemilla versipila']
Alchemilla vulgaris	herbaceous	['Alchemilla vulgaris']
Alchemilla wichurae	woody	['Alchemilla wichurae']
Alchemilla xanthochlora	herbaceous	['Alchemilla xanthochlora']
Alchornea alnifolia	woody	['Alchornea alnifolia']
Alchornea castaneifolia	woody	['Alchornea castaneaefolia', 'Alchornea castaneifolia']
Alchornea cordifolia	woody	['Alchornea cordifolia']
Alchornea costaricensis	woody	['Alchornea costaricensis']
Alchornea discolor	woody	['Alchornea brachygyne', 'Alchornea schomburgkii']
Alchornea floribunda	woody	['Alchornea floribunda']
Alchornea glandulosa	woody	['Alchornea glandulosa', 'Alchornea iricurana']
Alchornea grandis	woody	['Alchornea grandis']
Alchornea hirtella	woody	['Alchornea hirtella']
Alchornea humbertii	woody	['Alchornea humbertii']
Alchornea ilicifolia	woody	['Alchornea ilicifolia']
Alchornea latifolia	woody	['Alchornea latifolia']
Alchornea laxiflora	woody	['Alchornea laxiflora']
Alchornea liukiuensis	not assigned	['Alchornea liukiuensis']
Alchornea occidentalis	woody	['Alchornea occidentalis']
Alchornea perrieri	woody	['Alchornea perrieri']
Alchornea rugosa	woody	['Alchornea rugosa']
Alchornea trewioides	woody	['Alchornea trewioides']
Alchornea triplinervia	woody	['Alchornea triplinerva', 'Alchornea triplinervia']
Alchornea yambuyaensis	woody	['Alchornea yambuyaensis']
Alchorneopsis floribunda	woody	['Alchorneopsis floribunda', 'Alchorneopsis trimera']
Alchorneopsis portoricensis	woody	['Alchorneopsis portoricensis']
Aldama excelsa	conflicting (herbaceous vs. woody)	['Viguiera excelsa']
Aldama species	not assigned	['Viguiera linearis']
Aldina heterophylla	woody	['Aldina heterophylla']
Aldina insignis	woody	['Aldina insignis']
Aldina kunhardtiana	woody	['Aldina kunhardtiana']
Aldina latifolia	woody	['Aldina latifolia']
Aldina petiolulata	woody	['Aldina petiolulata']
Aldrovanda vesiculosa	herbaceous	['Aldrovanda vesiculosa']
Alectra asperrima	herbaceous	['Alectra asperrima']
Alectra bainesii	herbaceous	['Alectra bainesii']
Alectra dolichocalyx	herbaceous	['Alectra dolichocalyx']
Alectra glandulosa	herbaceous	['Alectra glandulosa']
Alectra orobanchoides	herbaceous	['Alectra orobanchoides']
Alectra parasitica	herbaceous	['Alectra parasitica']
Alectra picta	herbaceous	['Alectra picta']
Alectra pseudobarleriae	herbaceous	['Alectra pseudobarleriae']
Alectra pubescens	herbaceous	['Alectra pubescens']
Alectra rigida	herbaceous	['Alectra rigida']
Alectra sessiliflora	herbaceous	['Alectra sessiliflora']
Alectra vogelii	herbaceous	['Alectra vogelii']
Alectryon connatus	woody	['Alectryon connatus']
Alectryon coriaceus	woody	['Alectryon coriaceus', 'Alectryon semicinereus']
Alectryon excelsus	woody	['Alectryon excelsum', 'Alectryon excelsus']
Alectryon oleifolius	woody	['Alectryon oleifolius', 'Heterodendrum oleifolium']
Alectryon subcinereus	woody	['Alectryon subcinereus']
Alectryon subdentatus	woody	['Alectryon subdentatus']
Alectryon tomentosus	woody	['Alectryon tomentosus']
Alepidea amatymbica	herbaceous	['Alepidea amatymbica']
Alepidea peduncularis	herbaceous	['Alepidea gracilis', 'Alepidea propinqua', 'Alepidea swynnertonii']
Alepis flavida	herbaceous	['Alepis flavida']
Aletris aurea	herbaceous	['Aletris aurea']
Aletris farinosa	herbaceous	['Aletris farinosa']
Aletris stenoloba	herbaceous	['Aletris stenoloba']
Aleurites moluccanus	woody	['Aleurites moluccana', 'Aleurites moluccanus']
Aleurites rockinghamensis	woody	['Aleurites rockinghamensis']
Aleurites species	not assigned	['Aleurites roluccens']
Aleuritopteris species	not assigned	['Cheilanthes farinosa']
Aleuritopteris welwitschii	(fern)	['Cheilanthes mossambicensis']
Alexa grandiflora	woody	['Alexa grandiflora']
Alexa imperatricis	woody	['Alexa imperatricis']
Alexa wachenheimii	woody	['Alexa wachenheimii']
Alexfloydia repens	herbaceous	['Alexfloydia repens']
Alfaroa costaricensis	woody	['Alfaroa costaricensis']
Alfaroa guanacastensis	woody	['Alfaroa guanacastensis']
Alhagi maurorum	woody	['Alhagi maurorum']
Alhagi pseudalhagi	woody	['Alhagi canescens', 'Alhagi pseudalhagi', 'Alhagi sparsifolia']
Alibertia bertierifolia	not assigned	['Alibertia stenantha']
Alibertia claviflora	woody	['Borojoa claviflora']
Alibertia curviflora	woody	['Alibertia curviflora']
Alibertia dwyeri	woody	['Borojoa panamensis']
Alibertia edulis	woody	['Alibertia edulis']
Alibertia patinoi	woody	['Borojoa patinoi']
Alibertia species	not assigned	['Alibertia jorge', 'Alibertia lance', 'Alibertia pelitos']
Alicia anisopetala	not assigned	['Mascagnia anisopetala']
Alicia macrodisca	not assigned	['Mascagnia macrodisca']
Aliciella latifolia	herbaceous	['Gilia latifolia']
Aliciella micromeria	not assigned	['Gilia micromeria']
Alisma gramineum	herbaceous	['Alisma gramineum']
Alisma lanceolatum	herbaceous	['Alisma lanceolatum']
Alisma plantago-aquatica	herbaceous	['Alisma orientale', 'Alisma plantago-aquatica']
Alisma ranunculoides	not assigned	['Alisma ranunculoides']
Alisma subcordatum	herbaceous	['Alisma subcordatum']
Alisma triviale	herbaceous	['Alisma triviale']
Alistilus bechuanicus	herbaceous	['Alistilus bechuanicus']
Alkanna tinctoria	herbaceous	['Alkanna tinctoria']
Alkekengi officinarum	not assigned	['Physalis franchetii']
Allaeanthus greveanus	not assigned	['Broussonetia greveana']
Allaeanthus kurzii	not assigned	['Broussonetia kurzii']
Allaeanthus luzonicus	not assigned	['Broussonetia luzonica']
Allagoptera arenaria	woody	['Allagoptera arenaria']
Allamanda blanchetii	woody	['Allamanda violacea']
Allamanda cathartica	not assigned	['Allamanda cathartica']
Allamanda puberula	not assigned	['Allamanda puberula']
Allanblackia floribunda	woody	['Allanblackia floribunda']
Allanblackia parviflora	woody	['Allanblackia parviflora']
Allanblackia staneriana	woody	['Allanblackia staneriana']
Allanblackia stuhlmannii	woody	['Allanblackia stuhlmannii']
Allantoma decandra	woody	['Cariniana decandra']
Allantoma integrifolia	woody	['Cariniana integrifolia']
Allantoma lineata	woody	['Allantoma lineata']
Allantoma pluriflora	woody	['Cariniana multiflora']
Allantospermum borneense	woody	['Allantospermum borneense']
Allantospermum multicaule	woody	['Allantospermum multicaule']
Allenrolfea occidentalis	woody	['Allenrolfea occidentalis']
Allenrolfea patagonica	woody	['Allenrolfea patagonica']
Allenrolfea vaginata	woody	['Allenrolfea vaginata']
Alliaria petiolata	herbaceous	['Alliaria petiolata', 'Sisymbrium alliaria']
Allionia choisyi	herbaceous	['Allionia choisyi']
Allionia incarnata	herbaceous	['Allionia cristata', 'Allionia incarnata']
Allittia cardiocarpa	not assigned	['Brachyscome cardiocarpa']
Allium acuminatum	herbaceous	['Allium acuminatum']
Allium aflatunense	herbaceous	['Allium aflatunense']
Allium albotunicatum	herbaceous	['Allium albo-tunicatum']
Allium amethysticum	herbaceous	['Allium amethysticum']
Allium ampeloprasum	herbaceous	['Allium ampeloprasum']
Allium amplectens	herbaceous	['Allium amplectens']
Allium angulosum	herbaceous	['Allium angulosum']
Allium anisopodium	herbaceous	['Allium anisopodium']
Allium artemisietorum	herbaceous	['Allium artemisietorum']
Allium ascalonicum	herbaceous	['Allium ascalonicum']
Allium atropurpureum	not assigned	['Allium atropurpureum']
Allium atrosanguineum	herbaceous	['Allium atrosanguineum']
Allium atroviolaceum	herbaceous	['Allium atroviolaceum']
Allium bidentatum	herbaceous	['Allium bidentatum']
Allium bigelovii	herbaceous	['Allium bigelovii']
Allium bisceptrum	herbaceous	['Allium bisceptrum']
Allium bolanderi	herbaceous	['Allium bolanderi']
Allium caeruleum	herbaceous	['Allium caeruleum']
Allium canadense	herbaceous	['Allium canadense']
Allium carinatum	herbaceous	['Allium carinatum']
Allium carolinianum	herbaceous	['Allium carolinianum']
Allium cepa	herbaceous	['Allium cepa']
Allium cernuum	herbaceous	['Allium cernuum']
Allium chiwui	herbaceous	['Allium chiwui']
Allium coloratum	herbaceous	['Allium pulchellum']
Allium condensatum	herbaceous	['Allium condensatum']
Allium crispum	herbaceous	['Allium crispum']
Allium cyaneum	herbaceous	['Allium cyaneum']
Allium cyathophorum	herbaceous	['Allium cyathophorum']
Allium desertorum	herbaceous	['Allium desertorum']
Allium dichlamydeum	herbaceous	['Allium dichlamydeum']
Allium dictyoprasum	herbaceous	['Allium dictyoprasum']
Allium douglasii	herbaceous	['Allium douglasii']
Allium drummondii	herbaceous	['Allium drummondi', 'Allium drummondii']
Allium eduardi	herbaceous	['Allium eduardii']
Allium ericetorum	herbaceous	['Allium ericetorum']
Allium falcifolium	herbaceous	['Allium falcifolium']
Allium fistulosum	herbaceous	['Allium fistulosum']
Allium flavum	herbaceous	['Allium flavum']
Allium geyeri	herbaceous	['Allium geyeri']
Allium gomphrenoides	herbaceous	['Allium ascalonium']
Allium guttatum	herbaceous	['Allium guttatum']
Allium heldreichii	herbaceous	['Allium heldreichii']
Allium insubricum	herbaceous	['Allium insubricum']
Allium kochii	herbaceous	['Allium kochii']
Allium ledebourianum	herbaceous	['Allium ledebourianum']
Allium lineare	herbaceous	['Allium lineare']
Allium longifolium	herbaceous	['Allium kunthii']
Allium longistylum	herbaceous	['Allium longistylum']
Allium lusitanicum	herbaceous	['Allium lusitanicum']
Allium macrostemon	herbaceous	['Allium macrostemon']
Allium moly	not assigned	['Allium moly']
Allium mongolicum	herbaceous	['Allium mongolicum']
Allium neapolitanum	herbaceous	['Allium neapolitanum', 'Nothoscordum inodorum']
Allium negevense	herbaceous	['Allium negevense']
Allium neriniflorum	herbaceous	['Allium neriniflorum']
Allium nigrum	herbaceous	['Allium nigrum']
Allium odorum	herbaceous	['Allium odorum']
Allium oleraceum	herbaceous	['Allium oleraceum']
