Species	Woodiness
Acacia multisiliqua	woody
Acacia multispicata	woody
Acacia murrayana	woody
Acacia mutabilis	woody
Acacia myrmecophila	woody
Acacia myrtifolia	woody
Acacia nana	woody
Acacia nanodealbata	woody
Acacia nebrownii	woody
Acacia nematophylla	woody
Acacia neovernicosa	woody
Acacia neriifolia	woody
Acacia nervosa	woody
Acacia neurocarpa	woody
Acacia neurophylla	woody
Acacia nigrescens	woody
Acacia nigripilosa	woody
Acacia nilotica	woody
Acacia nodiflora	woody
Acacia notabilis	woody
Acacia nova-anglica	woody
Acacia nubica	woody
Acacia obliquinervia	woody
Acacia obtusata	woody
Acacia obtusifolia	woody
Acacia occidentalis	woody
Acacia oerfota	woody
Acacia olgana	woody
Acacia olsenii	woody
Acacia omalophylla	woody
Acacia oncinocarpa	woody
Acacia ophiolithica	woody
Acacia oraria	woody
Acacia origena	woody
Acacia orites	woody
Acacia oshanesii	woody
Acacia oswaldii	woody
Acacia oxycedrus	woody
Acacia pachycarpa	woody
Acacia pallidifolia	woody
Acacia paniculata	woody
Acacia paolii	woody
Acacia papulosa	woody
Acacia papyrocarpa	woody
Acacia paradoxa	woody
Acacia parramattensis	woody
Acacia parvipinnula	woody
Acacia pedina	woody
Acacia pellita	woody
Acacia pendula	woody
Acacia pennata	woody
Acacia pennatula	woody
Acacia penninervis	woody
Acacia pentadenia	woody
Acacia pentagona	not assigned
Acacia perangusta	woody
Acacia permixta	woody
Acacia pervillei	woody
Acacia peuce	woody
Acacia phaeocalyx	woody
Acacia phasmoides	woody
Acacia phlebocarpa	woody
Acacia phyllodes	woody
Acacia piligera	woody
Acacia pilispina	woody
Acacia pilligaensis	woody
Acacia pinguiculosa	woody
Acacia pinguifolia	woody
Acacia pinnata	woody
Acacia planifrons	woody
Acacia platycarpa	woody
Acacia plectocarpa	woody
Acacia plicata	woody
Acacia plumosa	not assigned
Acacia podalyriaefolia	woody
Acacia podalyriifolia	woody
Acacia polyacantha	woody
Acacia polybotrya	woody
Acacia polyphylla	woody
Acacia polystachya	woody
Acacia praecox	woody
Acacia prainii	woody
Acacia pravifolia	woody
Acacia pravissima	woody
Acacia pringlei	woody
Acacia prominens	woody
Acacia provincialis	woody
Acacia pruinocarpa	woody
Acacia pruinosa	woody
Acacia ptychoclada	woody
Acacia pubescens	woody
Acacia pubifolia	woody
Acacia pulchella	woody
Acacia purpusii	woody
Acacia pusilla	woody
Acacia pustula	woody
Acacia pycnantha	woody
Acacia pycnostachya	woody
Acacia pyrifolia	woody
Acacia quadrilateralis	woody
Acacia quadrimarginea	woody
Acacia quornensis	woody
Acacia racospermoides	woody
Acacia raddiana	woody
Acacia ramulosa	woody
Acacia redacta	woody
Acacia reficiens	woody
Acacia rehmanniana	woody
Acacia repanda	woody
Acacia resinimarginea	woody
Acacia retinodes	woody
Acacia retivenea	woody
Acacia rhetinocarpa	woody
Acacia rhigiophylla	woody
Acacia rhodophloia	woody
Acacia rhodoxylon	woody
Acacia riceana	woody
Acacia richii	woody
Acacia rigens	woody
Acacia rigidula	woody
Acacia riparia	woody
Acacia robusta	woody
Acacia robynsiana	woody
Acacia roemeriana	woody
Acacia rossei	woody
Acacia rostellifera	woody
Acacia rothii	woody
Acacia rovumae	woody
Acacia rubida	woody
Acacia rugata	woody
Acacia rupicola	woody
Acacia ruppii	woody
Acacia sakalava	woody
Acacia saliciformis	woody
Acacia salicina	woody
Acacia saligna	woody
Acacia schaffneri	woody
Acacia schinoides	woody
Acacia schweinfurthii	woody
Acacia scirpifolia	woody
Acacia sclerophylla	woody
Acacia sclerosperma	woody
Acacia sekhukhuniensis	woody
Acacia semirigida	woody
Acacia senegal	woody
Acacia senegalensis	woody
Acacia sertiformis	woody
Acacia sessiliceps	woody
Acacia seyal	woody
Acacia shirleyana	woody
Acacia shirleyi	woody
Acacia sibilans	woody
Acacia sibirica	woody
Acacia siculiformis	woody
Acacia sieberana	woody
Acacia sieberiana	woody
Acacia silvestris	woody
Acacia simmonsiana	woody
Acacia simsii	woody
Acacia sophorae	woody
Acacia spathulata	woody
Acacia spectabilis	woody
Acacia spilleriana	woody
Acacia spinescens	woody
Acacia spirocarpa	woody
Acacia splendens	woody
Acacia spondylophylla	woody
Acacia spooneri	woody
Acacia sporadica	woody
Acacia squamata	woody
Acacia standleyi	woody
Acacia startii	woody
Acacia steedmanii	woody
Acacia stellaticeps	woody
Acacia stenophylla	woody
Acacia stereophylla	woody
Acacia stipuligera	woody
Acacia stowardii	woody
Acacia stricta	woody
Acacia strongylophylla	woody
Acacia stuhlmannii	woody
Acacia suaveolens	woody
Acacia subangulata	woody
Acacia subcaerulea	woody
Acacia subporosa	woody
Acacia subracemosa	woody
Acacia subtessarogona	woody
Acacia subtilinervis	woody
Acacia subulata	woody
Acacia sulcata	woody
Acacia suma	woody
Acacia sundra	woody
Acacia sutherlandii	woody
Acacia swazica	woody
Acacia tanganyikensis	woody
Acacia telmica	woody
Acacia tenuifolia	woody
Acacia tenuispina	woody
Acacia tenuissima	woody
Acacia terminalis	woody
Acacia tetragonophylla	woody
Acacia tetraneura	woody
Acacia tindaleae	woody
Acacia tomentosa	woody
Acacia toondulya	woody
Acacia torrei	woody
Acacia torringtonensis	woody
Acacia torta	not assigned
Acacia tortilis	woody
Acacia tortuosa	woody
Acacia torulosa	woody
