Species	Family	Original names
Erigeron eatonii	Asteraceae	[]
Erigeron ecuadoriensis	Asteraceae	[]
Erigeron engelmannii	Asteraceae	['Erigeron engelmanni']
Erigeron eximius	Asteraceae	[]
Erigeron filifolius	Asteraceae	[]
Erigeron flagellaris	Asteraceae	[]
Erigeron floribundus	Asteraceae	['Conyza albida', 'Conyza bilbaoana']
Erigeron foliosus	Asteraceae	[]
Erigeron formosissimus	Asteraceae	[]
Erigeron glabellus	Asteraceae	[]
Erigeron glabratus	Asteraceae	['Erigeron candidus']
Erigeron glacialis	Asteraceae	['Erigeron callianthemus']
Erigeron glaucus	Asteraceae	[]
Erigeron heterochaeta	Asteraceae	[]
Erigeron kamtschaticus	Asteraceae	[]
Erigeron karvinskianus	Asteraceae	[]
Erigeron lassenianus	Asteraceae	[]
Erigeron linearis	Asteraceae	[]
Erigeron luxurians	Asteraceae	[]
Erigeron morrisonensis	Asteraceae	[]
Erigeron myosotis	Asteraceae	[]
Erigeron nanus	Asteraceae	[]
Erigeron neglectus	Asteraceae	[]
Erigeron peregrinus	Asteraceae	[]
Erigeron petrophilus	Asteraceae	[]
Erigeron philadelphicus	Asteraceae	[]
Erigeron primulifolius	Asteraceae	['Conyza chilensis']
Erigeron pulchellus	Asteraceae	[]
Erigeron pumilus	Asteraceae	[]
Erigeron pygmaeus	Asteraceae	[]
Erigeron schleicheri	Asteraceae	['Erigeron gaudinii']
Erigeron species	not assigned	['Erigeron ramosus']
Erigeron speciosus	Asteraceae	[]
Erigeron strigosus	Asteraceae	[]
Erigeron subtrinervis	Asteraceae	[]
Erigeron sumatrensis	Asteraceae	[]
Erigeron tweedyi	Asteraceae	[]
Erigeron uniflorus	Asteraceae	[]
Erigeron vagus	Asteraceae	[]
Erinacea anthyllis	Fabaceae	[]
Erinocarpus nimmonii	Tiliaceae	[]
Erinus alpinus	Scrophulariaceae	[]
Eriocapitella hupehensis	Ranunculaceae	['Anemone hupehensis']
Eriocapitella vitifolia	Ranunculaceae	['Anemone vitifolia']
Eriocaulon afzelianum	Eriocaulaceae	[]
Eriocaulon aquaticum	Eriocaulaceae	['Eriocaulon septangulare']
Eriocaulon australe	Eriocaulaceae	[]
Eriocaulon compressum	Eriocaulaceae	[]
Eriocaulon decangulare	Eriocaulaceae	[]
Eriocaulon koernickianum	Eriocaulaceae	[]
Eriocaulon merrillii	Eriocaulaceae	[]
Eriocaulon nigericum	Eriocaulaceae	[]
Eriocaulon scariosum	Eriocaulaceae	[]
Eriocaulon schimperi	Eriocaulaceae	[]
Eriocaulon setaceum	Eriocaulaceae	[]
Eriocaulon sexangulare	Eriocaulaceae	['Eriocaulon wallichianum']
Eriocaulon sonderianum	Eriocaulaceae	[]
Eriocaulon truncatum	Eriocaulaceae	[]
Eriocephalus africanus	Asteraceae	[]
Eriocephalus ericoides	Asteraceae	[]
Eriocephalus kingesii	Asteraceae	[]
Eriocephalus merxmuelleri	Asteraceae	[]
Eriocephalus microphyllus	Asteraceae	['Eriocephalus luederitzianus']
Eriocephalus pinnatus	Asteraceae	[]
Eriocephalus racemosus	Asteraceae	[]
Eriocephalus scariosus	Asteraceae	[]
Eriochilus cucullatus	Orchidaceae	[]
Eriochloa acuminata	Poaceae	['Eriochloa gracilis']
Eriochloa aristata	Poaceae	[]
Eriochloa australiensis	Poaceae	['Eriochloa longiflora']
Eriochloa barbatus	Poaceae	['Eriochloa fatmensis']
Eriochloa boliviensis	Poaceae	[]
Eriochloa boxiana	Poaceae	[]
Eriochloa contracta	Poaceae	[]
Eriochloa crebra	Poaceae	[]
Eriochloa distachya	Poaceae	[]
Eriochloa grandiflora	Poaceae	[]
Eriochloa lemmonii	Poaceae	[]
Eriochloa macclounii	Poaceae	[]
Eriochloa meyeriana	Poaceae	[]
Eriochloa michauxii	Poaceae	[]
Eriochloa montevidensis	Poaceae	[]
Eriochloa nana	Poaceae	[]
Eriochloa nelsonii	Poaceae	[]
Eriochloa pacifica	Poaceae	[]
Eriochloa parvispiculata	Poaceae	[]
Eriochloa peruviana	Poaceae	[]
Eriochloa procera	Poaceae	[]
Eriochloa pseudoacrotricha	Poaceae	[]
Eriochloa punctata	Poaceae	[]
Eriochloa rovumensis	Poaceae	[]
Eriochloa sericea	Poaceae	[]
Eriochloa setosa	Poaceae	[]
Eriochloa species	not assigned	['Eriochloa borumensis']
Eriochloa stapfiana	Poaceae	[]
Eriochloa stevensii	Poaceae	[]
Eriochloa subulifera	Poaceae	[]
Eriochloa succincta	Poaceae	[]
Eriochloa tridentata	Poaceae	[]
Eriochloa villosa	Poaceae	[]
Eriochloa weberbaueri	Poaceae	[]
Eriochrysis brachypogon	Poaceae	[]
Eriochrysis cayennensis	Poaceae	[]
Eriochrysis concepcionensis	Poaceae	[]
Eriochrysis filiformis	Poaceae	[]
Eriochrysis holcoides	Poaceae	[]
Eriochrysis laxa	Poaceae	[]
Eriochrysis pallida	Poaceae	[]
Eriochrysis purpurata	Poaceae	[]
Eriochrysis rangacharii	Poaceae	[]
Eriochrysis villosa	Poaceae	[]
Eriochrysis warmingiana	Poaceae	[]
Eriocoelum lawtonii	Sapindaceae	[]
Eriocoelum microspermum	Sapindaceae	[]
Eriocoma coronata	Poaceae	['Stipa coronata']
Eriocoma hymenoides	Poaceae	['Achnatherum hymenoides', 'Oryzopsis hymenoides', 'Stipa hymenoides']
Eriocoma lemmonii	Poaceae	['Achnatherum lemmonii', 'Stipa lemmonii']
Eriocoma lettermanii	Poaceae	['Achnatherum lettermanii', 'Stipa lettermanii']
Eriocoma nelsonii	Poaceae	['Achnatherum nelsonii', 'Stipa nelsonii']
Eriocoma occidentalis	Poaceae	['Achnatherum occidentale']
Eriocoma richardsonii	Poaceae	['Stipa richardsonii']
Eriocoma robusta	Poaceae	['Achnatherum robustum']
Eriocoma thurberiana	Poaceae	['Achnatherum thurberianum', 'Stipa thurberiana']
Eriodictyon angustifolium	Hydrophyllaceae	[]
Eriodictyon californicum	Hydrophyllaceae	[]
Eriodictyon crassifolium	Hydrophyllaceae	[]
Eriodictyon tomentosum	Hydrophyllaceae	[]
Eriodictyon traskiae	Hydrophyllaceae	[]
Eriodictyon trichocalyx	Hydrophyllaceae	[]
Eriogonum alatum	Polygonaceae	[]
Eriogonum ampullaceum	Polygonaceae	[]
Eriogonum annuum	Polygonaceae	[]
Eriogonum arborescens	Polygonaceae	[]
Eriogonum baileyi	Polygonaceae	[]
Eriogonum brachyanthum	Polygonaceae	[]
Eriogonum caespitosum	Polygonaceae	[]
Eriogonum cernuum	Polygonaceae	[]
Eriogonum cinereum	Polygonaceae	[]
Eriogonum compositum	Polygonaceae	[]
Eriogonum corymbosum	Polygonaceae	[]
Eriogonum crocatum	Polygonaceae	[]
Eriogonum crosbyae	Polygonaceae	['Eriogonum capistratum']
Eriogonum davidsonii	Polygonaceae	[]
Eriogonum deflexum	Polygonaceae	[]
Eriogonum effusum	Polygonaceae	[]
Eriogonum elatum	Polygonaceae	[]
Eriogonum fasciculatum	Polygonaceae	[]
Eriogonum flavum	Polygonaceae	[]
Eriogonum giganteum	Polygonaceae	[]
Eriogonum heermannii	Polygonaceae	[]
Eriogonum heracleoides	Polygonaceae	[]
Eriogonum inflatum	Polygonaceae	[]
Eriogonum kennedyi	Polygonaceae	[]
Eriogonum latifolium	Polygonaceae	[]
Eriogonum lemmonii	Polygonaceae	[]
Eriogonum luteolum	Polygonaceae	[]
Eriogonum marifolium	Polygonaceae	[]
Eriogonum microtheca	Polygonaceae	['Eriogonum microthecum']
Eriogonum nidularium	Polygonaceae	[]
Eriogonum niveum	Polygonaceae	[]
Eriogonum nudum	Polygonaceae	[]
Eriogonum nummulare	Polygonaceae	['Eriogonum kearneyi']
Eriogonum ovalifolium	Polygonaceae	[]
Eriogonum parvifolium	Polygonaceae	[]
Eriogonum pauciflorum	Polygonaceae	['Eriogonum multiceps']
Eriogonum pharnaceoides	Polygonaceae	[]
Eriogonum polycladon	Polygonaceae	[]
Eriogonum pusillum	Polygonaceae	[]
Eriogonum racemosum	Polygonaceae	[]
Eriogonum rosense	Polygonaceae	[]
Eriogonum roseum	Polygonaceae	['Eriogonum virgatum']
Eriogonum saxatile	Polygonaceae	[]
Eriogonum spergulinum	Polygonaceae	[]
Eriogonum sphaerocephalum	Polygonaceae	[]
Eriogonum strictum	Polygonaceae	['Eriogonum proliferum']
Eriogonum subreniforme	Polygonaceae	[]
Eriogonum thymoides	Polygonaceae	[]
Eriogonum trichopes	Polygonaceae	[]
Eriogonum umbellatum	Polygonaceae	[]
Eriogonum ursinum	Polygonaceae	[]
Eriogonum vestitum	Polygonaceae	[]
Eriogonum vimineum	Polygonaceae	[]
Eriogonum wrightii	Polygonaceae	['Eriogonum nodosum']
Eriolaena candollei	Sterculiaceae	[]
Eriolaena ctenostegia	Sterculiaceae	['Helmiopsiella ctenostegia']
Eriolaena hily	Sterculiaceae	['Helmiopsis hily']
Eriolaena madagascariensis	Sterculiaceae	['Helmiopsiella madagascariensis']
Eriolaena pseudopopulus	Sterculiaceae	['Helmiopsis pseudo-populus']
Eriolaena quinquelocularis	Sterculiaceae	[]
Eriolarynx australis	Solanaceae	['Acnistus australis']
Eriolobus trilobatus	Rosaceae	['Malus trilobata']
Erioneuron avenaceum	Poaceae	['Tridens grandiflorus']
Erioneuron pilosum	Poaceae	[]
Eriophorum alpinum	Cyperaceae	[]
Eriophorum angustifolium	Cyperaceae	[]
Eriophorum gracile	Cyperaceae	[]
Eriophorum latifolium	Cyperaceae	[]
Eriophorum polystachion	Cyperaceae	[]
Eriophorum russeolum	Cyperaceae	[]
Eriophorum scheuchzeri	Cyperaceae	['Eriophorum capitatum']
Eriophorum triste	Cyperaceae	[]
Eriophorum vaginatum	Cyperaceae	[]
Eriophorum virginicum	Cyperaceae	[]
Eriophorum viridicarinatum	Cyperaceae	['Eriophorum viridi-carinatum']
Eriophyllum confertiflorum	Asteraceae	[]
Eriophyllum lanatum	Asteraceae	[]
Eriophyllum nevinii	Asteraceae	[]
Eriophyllum pringlei	Asteraceae	[]
Eriophyllum staechadifolium	Asteraceae	[]
Eriophyllum wallacei	Asteraceae	[]
Erioscirpus comosus	Cyperaceae	['Eriophorum comosum']
Eriosema affinis	Fabaceae	[]
Eriosema angolense	Fabaceae	[]
Eriosema bauchiense	Fabaceae	[]
Eriosema buchananii	Fabaceae	[]
Eriosema burkei	Fabaceae	[]
Eriosema chinense	Fabaceae	[]
Eriosema chrysadenium	Fabaceae	[]
Eriosema cordatum	Fabaceae	[]
Eriosema decumbens	Fabaceae	[]
Eriosema ellipticum	Fabaceae	[]
Eriosema englerianum	Fabaceae	[]
Eriosema erici-rosenii	Fabaceae	[]
Eriosema flexuosum	Fabaceae	[]
Eriosema glomeratum	Fabaceae	[]
Eriosema grandiflorum	Fabaceae	[]
Eriosema griseum	Fabaceae	[]
Eriosema kankolo	Fabaceae	[]
Eriosema lebrunii	Fabaceae	[]
Eriosema macrostipulum	Fabaceae	[]
Eriosema mariae	Fabaceae	[]
Eriosema montanum	Fabaceae	[]
Eriosema nutans	Fabaceae	[]
Eriosema parviflorum	Fabaceae	[]
Eriosema pauciflorum	Fabaceae	[]
Eriosema pentaphyllum	Fabaceae	[]
Eriosema procumbens	Fabaceae	[]
Eriosema prunelloides	Fabaceae	[]
Eriosema psoraleoides	Fabaceae	['Eriosema psoraloides']
Eriosema pumilum	Fabaceae	[]
Eriosema ramosum	Fabaceae	[]
Eriosema rhodesicum	Fabaceae	[]
Eriosema rhynchosioides	Fabaceae	[]
Eriosema scioanum	Fabaceae	[]
Eriosema shirense	Fabaceae	[]
Eriosema simplicifolium	Fabaceae	[]
Eriosema tephrosioides	Fabaceae	[]
Eriosema ukingense	Fabaceae	[]
Eriosema vanderystii	Fabaceae	[]
Eriosema verdickii	Fabaceae	[]
Eriosema youngii	Fabaceae	[]
Eriospermum abyssinicum	Eriospermaceae	['Eriospermum flagelliforme']
Eriospermum bakerianum	Eriospermaceae	[]
Eriospermum brevipes	Eriospermaceae	[]
Eriospermum cooperi	Eriospermaceae	[]
Eriospermum lanceifolium	Eriospermaceae	['Eriospermum lanceaefolium']
Eriospermum porphyrium	Eriospermaceae	[]
Eriostemon australasius	Rutaceae	[]
Eriosyce aspillagae	Cactaceae	[]
Eriosyce aurata	Cactaceae	[]
Eriosyce chilensis	Cactaceae	[]
Eriosyce curvispina	Cactaceae	['Neoporteria horrida']
Eriosyce engleri	Cactaceae	[]
Eriosyce heinrichiana	Cactaceae	[]
Eriosyce kunzei	Cactaceae	[]
Eriosyce napina	Cactaceae	[]
Eriosyce occulta	Cactaceae	[]
Eriosyce odieri	Cactaceae	[]
Eriosyce paucicostata	Cactaceae	['Neoporteria paucicostata']
Eriosyce subgibbosa	Cactaceae	['Neoporteria subgibbosa']
Eriotheca candolleana	Bombacaceae	[]
Eriotheca crassa	Bombacaceae	[]
Eriotheca discolor	Bombacaceae	['Bombax discolor']
Eriotheca globosa	Bombacaceae	[]
Eriotheca longipedicellata	Bombacaceae	[]
Eriotheca pentaphylla	Bombacaceae	[]
Eriotheca pubescens	Bombacaceae	[]
Eriotheca roseorum	Bombacaceae	[]
Eriotheca ruizii	Bombacaceae	[]
Eriotheca surinamensis	Bombacaceae	[]
Erisma bicolor	Vochysiaceae	[]
Erisma blancoa	Vochysiaceae	[]
Erisma calcaratum	Vochysiaceae	[]
Erisma floribundum	Vochysiaceae	[]
Erisma fuscum	Vochysiaceae	[]
Erisma nitidum	Vochysiaceae	[]
Erisma uncinatum	Vochysiaceae	[]
Erismadelphus exsul	Vochysiaceae	[]
Erithalis fruticosa	Rubiaceae	[]
Eritrichium caucasicum	Boraginaceae	[]
Eritrichium nanum	Boraginaceae	[]
Erlangea misera	Asteraceae	[]
Erlangea ramifolia	Asteraceae	[]
Erlangea remifolia	Asteraceae	[]
Erlangea smithii	Asteraceae	[]
Ernodea littoralis	Rubiaceae	[]
Erodium anaristatum	Geraniaceae	[]
Erodium botrys	Geraniaceae	[]
Erodium brachycarpum	Geraniaceae	[]
Erodium ciconium	Geraniaceae	[]
Erodium cicutarium	Geraniaceae	['Erodium ballii', 'Erodium danicum']
Erodium crinitum	Geraniaceae	[]
Erodium cygnorum	Geraniaceae	[]
Erodium glaucophyllum	Geraniaceae	[]
Erodium gruinum	Geraniaceae	[]
Erodium laciniatum	Geraniaceae	[]
Erodium lebelii	Geraniaceae	[]
Erodium malacoides	Geraniaceae	[]
Erodium manescavi	Geraniaceae	[]
Erodium maritimum	Geraniaceae	[]
Erodium moschatum	Geraniaceae	[]
Erodium species	not assigned	['Erodium hirtum']
Erodium stephanianum	Geraniaceae	[]
Erodium texanum	Geraniaceae	[]
Erophaca baetica	Fabaceae	['Astragalus lusitanicus']
Eruca pinnatifida	Brassicaceae	[]
Eruca sativa	Brassicaceae	[]
Eruca vesicaria	Brassicaceae	['Eruca longirostris']
Erucaria cakiloidea	Brassicaceae	[]
Erucaria erucarioides	Brassicaceae	[]
Erucaria hispanica	Brassicaceae	[]
Erucaria microcarpa	Brassicaceae	[]
Erucaria ollivieri	Brassicaceae	[]
Erucaria pinnata	Brassicaceae	['Reboudia pinnata']
Erucaria rostrata	Brassicaceae	[]
Erucastrum abyssinicum	Brassicaceae	[]
Erucastrum arabicum	Brassicaceae	[]
Erucastrum brevirostre	Brassicaceae	[]
Erucastrum canariense	Brassicaceae	[]
Erucastrum cardaminoides	Brassicaceae	[]
Erucastrum elatum	Brassicaceae	[]
Erucastrum gallicum	Brassicaceae	[]
Erucastrum ifniense	Brassicaceae	[]
Erucastrum leucanthum	Brassicaceae	[]
Erucastrum littoreum	Brassicaceae	[]
Erucastrum nasturtiifolium	Brassicaceae	[]
Erucastrum rifanum	Brassicaceae	[]
Erucastrum strigosum	Brassicaceae	[]
Erucastrum varium	Brassicaceae	[]
Erucastrum virgatum	Brassicaceae	[]
Erycibe coccinea	Convolvulaceae	[]
Erycibe coriacea	Convolvulaceae	[]
Erycibe glaucescens	Convolvulaceae	[]
Erycibe glomerata	Convolvulaceae	[]
Erycibe maingayi	Convolvulaceae	[]
Erycibe paniculata	Convolvulaceae	[]
Erycibe tomentosa	Convolvulaceae	[]
Erycina echinata	Orchidaceae	[]
Erymophyllum glossanthus	Asteraceae	[]
Erymophyllum ramosum	Asteraceae	[]
Erymophyllum tenellum	Asteraceae	[]
Eryngium agavifolium	Apiaceae	[]
Eryngium alpinum	Apiaceae	[]
Eryngium amethystinum	Apiaceae	[]
Eryngium armatum	Apiaceae	[]
Eryngium articulatum	Apiaceae	[]
Eryngium billardierei	Apiaceae	[]
Eryngium billardieri	Apiaceae	[]
Eryngium bourgatii	Apiaceae	[]
Eryngium bupleuroides	Apiaceae	[]
Eryngium caeruleum	Apiaceae	['Eryngium caucasicum']
Eryngium campestre	Apiaceae	[]
Eryngium creticum	Apiaceae	[]
Eryngium depressum	Apiaceae	[]
Eryngium elegans	Apiaceae	[]
Eryngium eurycephalum	Apiaceae	[]
Eryngium falcatum	Apiaceae	[]
Eryngium foetidum	Apiaceae	[]
Eryngium giganteum	Apiaceae	[]
Eryngium glaziovianum	Apiaceae	[]
Eryngium glomeratum	Apiaceae	[]
Eryngium horridum	Apiaceae	[]
Eryngium humboldtii	Apiaceae	['Eryngium paniculatum']
Eryngium inaccessum	Apiaceae	[]
Eryngium leavenworthii	Apiaceae	[]
Eryngium maritimum	Apiaceae	[]
Eryngium nudicaule	Apiaceae	[]
Eryngium ovinum	Apiaceae	[]
Eryngium pinnatisectum	Apiaceae	[]
Eryngium plantagineum	Apiaceae	[]
Eryngium planum	Apiaceae	[]
Eryngium pristis	Apiaceae	[]
Eryngium rostratum	Apiaceae	[]
Eryngium sanguisorba	Apiaceae	[]
Eryngium species	not assigned	['Eryngium coelestinum']
Eryngium tricuspidatum	Apiaceae	[]
Eryngium vesiculosum	Apiaceae	[]
Eryngium yuccifolium	Apiaceae	[]
Erysimum ammophilum	Brassicaceae	[]
Erysimum asperum	Brassicaceae	[]
Erysimum aucherianum	Brassicaceae	['Erysimum passgalense']
Erysimum baeticum	Brassicaceae	[]
Erysimum bicolor	Brassicaceae	['Cheiranthus virescens', 'Erysimum heritieri']
Erysimum bonannianum	Brassicaceae	[]
Erysimum canum	Brassicaceae	['Syrenia cana']
Erysimum capitatum	Brassicaceae	['Erysimum argillosum']
Erysimum cazorlense	Brassicaceae	['Erysimum favargeri']
Erysimum cheiranthoides	Brassicaceae	[]
Erysimum cheiri	Brassicaceae	[]
Erysimum collisparsum	Brassicaceae	[]
Erysimum comatum	Brassicaceae	['Erysimum commatum']
Erysimum corinthium	Brassicaceae	[]
Erysimum crassicaule	Brassicaceae	[]
Erysimum crassipes	Brassicaceae	[]
Erysimum crepidifolium	Brassicaceae	[]
Erysimum creticum	Brassicaceae	[]
Erysimum cuspidatum	Brassicaceae	[]
Erysimum diffusum	Brassicaceae	[]
Erysimum franciscanum	Brassicaceae	[]
Erysimum graecum	Brassicaceae	[]
Erysimum gramineum	Brassicaceae	[]
Erysimum hieraciifolium	Brassicaceae	['Erysimum hieracifolium']
Erysimum hungaricum	Brassicaceae	['Erysimum wahlenbergii']
Erysimum incanum	Brassicaceae	[]
Erysimum inconspicuum	Brassicaceae	[]
Erysimum insulare	Brassicaceae	[]
Erysimum linifolium	Brassicaceae	[]
Erysimum marschallianum	Brassicaceae	[]
Erysimum marshallii	Brassicaceae	['Erysimum marshalli']
Erysimum menziesii	Brassicaceae	[]
Erysimum metlesicsii	Brassicaceae	[]
Erysimum myriophyllum	Brassicaceae	[]
Erysimum nevadense	Brassicaceae	['Erysimum gomez-campoi', 'Erysimum medio-hispanicum', 'Erysimum rondae']
Erysimum odoratum	Brassicaceae	[]
Erysimum olympicum	Brassicaceae	[]
Erysimum perofskianum	Brassicaceae	[]
Erysimum pulchellum	Brassicaceae	[]
Erysimum raulinii	Brassicaceae	['Erysimum raulini']
Erysimum repandum	Brassicaceae	[]
Erysimum scabrum	Brassicaceae	['Erysimum goniocaulon']
Erysimum scoparium	Brassicaceae	[]
Erysimum seipkae	Brassicaceae	[]
Erysimum semperflorens	Brassicaceae	[]
Erysimum senoneri	Brassicaceae	[]
Erysimum smyrnaeum	Brassicaceae	[]
Erysimum species	not assigned	['Erysimum aurantiacum']
Erysimum substrigosum	Brassicaceae	[]
Erysimum subulatum	Brassicaceae	[]
Erysimum sylvestre	Brassicaceae	[]
Erysimum tenellum	Brassicaceae	[]
Erysimum virgatum	Brassicaceae	[]
Erythranthe alsinoides	Scrophulariaceae	['Mimulus alsinoides']
Erythranthe breweri	Scrophulariaceae	['Mimulus breweri']
Erythranthe cardinalis	Scrophulariaceae	['Mimulus cardinalis']
Erythranthe eastwoodiae	Scrophulariaceae	['Mimulus eastwoodiae']
Erythranthe filicaulis	Scrophulariaceae	['Mimulus filicaulis']
Erythranthe floribunda	Scrophulariaceae	['Mimulus floribundus']
Erythranthe lewisii	Scrophulariaceae	['Mimulus lewisii']
Erythranthe lutea	Scrophulariaceae	['Mimulus luteus']
Erythranthe naiandina	Scrophulariaceae	['Mimulus naiandinus']
Erythranthe nudata	Scrophulariaceae	['Mimulus nudatus']
Erythranthe primuloides	Scrophulariaceae	['Mimulus primuloides']
Erythranthe species	not assigned	['Mimulus dentatus', 'Mimulus glabratus', 'Mimulus guttatus']
Erythranthe suksdorfii	Scrophulariaceae	['Mimulus suksdorfii']
Erythrina abyssinica	Fabaceae	[]
Erythrina amazonica	Fabaceae	[]
Erythrina americana	Fabaceae	['Erythrina coralloides']
Erythrina arborescens	Fabaceae	[]
Erythrina atitlanensis	Fabaceae	[]
Erythrina baumii	Fabaceae	[]
Erythrina berenices	Fabaceae	[]
Erythrina berteroana	Fabaceae	[]
Erythrina bidwillii	Fabaceae	['Erythrina blakei']
Erythrina burttii	Fabaceae	[]
Erythrina caffra	Fabaceae	[]
Erythrina chiapasana	Fabaceae	[]
Erythrina chiriquensis	Fabaceae	[]
Erythrina cochleata	Fabaceae	[]
Erythrina coddii	Fabaceae	[]
Erythrina corallodendron	Fabaceae	[]
Erythrina costaricensis	Fabaceae	[]
Erythrina crista-galli	Fabaceae	[]
Erythrina edulis	Fabaceae	[]
Erythrina excelsa	Fabaceae	[]
Erythrina falcata	Fabaceae	[]
Erythrina flabelliformis	Fabaceae	[]
Erythrina folkersii	Fabaceae	[]
Erythrina fusca	Fabaceae	['Erythrina glauca']
Erythrina goldmanii	Fabaceae	[]
Erythrina hazomboay	Fabaceae	[]
Erythrina herbacea	Fabaceae	[]
Erythrina humeana	Fabaceae	[]
Erythrina indica	Fabaceae	[]
Erythrina lanata	Fabaceae	[]
Erythrina lanceolata	Fabaceae	[]
Erythrina latissima	Fabaceae	[]
Erythrina livingstoniana	Fabaceae	[]
Erythrina lysistemon	Fabaceae	[]
Erythrina macrophylla	Fabaceae	[]
Erythrina madagascariensis	Fabaceae	[]
Erythrina merrilliana	Fabaceae	[]
Erythrina mitis	Fabaceae	[]
Erythrina mulungu	Fabaceae	['Erythrina dominguezii']
Erythrina perrieri	Fabaceae	[]
Erythrina poeppigiana	Fabaceae	[]
Erythrina salviiflora	Fabaceae	[]
Erythrina sandwicensis	Fabaceae	[]
Erythrina senegalensis	Fabaceae	[]
Erythrina smithiana	Fabaceae	[]
Erythrina standleyana	Fabaceae	[]
Erythrina stricta	Fabaceae	[]
Erythrina suberosa	Fabaceae	[]
Erythrina subumbrans	Fabaceae	[]
Erythrina tahitensis	Fabaceae	[]
Erythrina tholloniana	Fabaceae	[]
Erythrina ulei	Fabaceae	[]
Erythrina variegata	Fabaceae	['Erythrina boninensis']
Erythrina velutina	Fabaceae	[]
Erythrina vespertilio	Fabaceae	[]
Erythrina vogelii	Fabaceae	[]
Erythrocephalum albiflorum	Asteraceae	[]
Erythrocephalum decipiens	Asteraceae	[]
Erythrocephalum dictyophlebium	Asteraceae	[]
Erythrocephalum longifolium	Asteraceae	['Erythrocephalum zambesianum']
Erythrocephalum marginatum	Asteraceae	['Achyrothalamus marginatus']
Erythrocephalum microcephalum	Asteraceae	[]
Erythrocephalum scabrifolium	Asteraceae	[]
Erythrochiton brasiliensis	Rutaceae	[]
Erythrochiton fallax	Rutaceae	[]
Erythrochiton species	not assigned	['Erythrochiton margot']
Erythrococca angolensis	Euphorbiaceae	[]
Erythrococca atrovirens	Euphorbiaceae	[]
Erythrococca berberidea	Euphorbiaceae	[]
Erythrococca bongensis	Euphorbiaceae	[]
Erythrococca kirkii	Euphorbiaceae	[]
Erythrococca menyharthii	Euphorbiaceae	[]
Erythrococca polyandra	Euphorbiaceae	[]
Erythrococca trichogyne	Euphorbiaceae	[]
Erythrococca ulugurensis	Euphorbiaceae	[]
Erythrococca welwitschiana	Euphorbiaceae	[]
Erythrococca zambesiaca	Euphorbiaceae	[]
Erythronium albidum	Liliaceae	[]
Erythronium americanum	Liliaceae	[]
Erythronium californicum	Liliaceae	[]
Erythronium caucasicum	Liliaceae	[]
Erythronium dens-canis	Liliaceae	[]
Erythronium grandiflorum	Liliaceae	[]
Erythronium helenae	Liliaceae	[]
Erythronium hendersonii	Liliaceae	['Erythronium hendersoni']
Erythronium klamathense	Liliaceae	[]
Erythronium multiscapideum	Liliaceae	['Erythronium multiscapoidea']
Erythronium purpurascens	Liliaceae	[]
Erythronium revolutum	Liliaceae	[]
Erythropalum scandens	Olacaceae	['Erythropalum populifolium']
Erythrophleum africanum	Fabaceae	[]
Erythrophleum chlorostachys	Fabaceae	[]
Erythrophleum couminga	Fabaceae	[]
Erythrophleum fordii	Fabaceae	[]
Erythrophleum ivorense	Fabaceae	['Erythrophleum micranthum']
Erythrophleum lasianthum	Fabaceae	[]
Erythrophleum species	not assigned	['Erythrophleum guineense']
Erythrophleum suaveolens	Fabaceae	[]
Erythrophysa aesculina	Sapindaceae	[]
Erythrophysa alata	Sapindaceae	[]
Erythrophysa humbertii	Sapindaceae	[]
Erythrospermum candidum	Flacourtiaceae	[]
Erythrostelechia acuminata	not assigned	[]
Erythrostemon angulatus	Fabaceae	['Caesalpinia angulata']
Erythrostemon calycinus	Fabaceae	['Caesalpinia calycina']
Erythrostemon coccineus	Fabaceae	['Caesalpinia coccinea']
Erythrostemon exostemma	Fabaceae	['Caesalpinia exostemma']
Erythrostemon hughesii	Fabaceae	['Caesalpinia hughesii']
Erythrostemon melanadenius	Fabaceae	['Caesalpinia melanadenia']
Erythrostemon species	not assigned	['Caesalpinia gilliesii']
Erythrostemon yucatanensis	Fabaceae	['Caesalpinia yucatanensis']
Erythroxylum amazonicum	Erythroxylaceae	[]
Erythroxylum amplifolium	Erythroxylaceae	[]
Erythroxylum amplum	Erythroxylaceae	[]
Erythroxylum areolatum	Erythroxylaceae	['Erythroxylum carthagenense']
Erythroxylum argentinum	Erythroxylaceae	[]
Erythroxylum australe	Erythroxylaceae	[]
Erythroxylum brevipes	Erythroxylaceae	[]
Erythroxylum campestre	Erythroxylaceae	[]
Erythroxylum campinense	Erythroxylaceae	[]
Erythroxylum cataractarum	Erythroxylaceae	[]
Erythroxylum citrifolium	Erythroxylaceae	[]
Erythroxylum coca	Erythroxylaceae	[]
Erythroxylum confusum	Erythroxylaceae	[]
Erythroxylum corymbosum	Erythroxylaceae	[]
Erythroxylum cumanense	Erythroxylaceae	[]
Erythroxylum cuneatum	Erythroxylaceae	[]
Erythroxylum cuneifolium	Erythroxylaceae	[]
Erythroxylum daphnites	Erythroxylaceae	[]
Erythroxylum deciduum	Erythroxylaceae	[]
Erythroxylum delagoense	Erythroxylaceae	[]
Erythroxylum densum	Erythroxylaceae	[]
Erythroxylum ecarinatum	Erythroxylaceae	[]
Erythroxylum elegans	Erythroxylaceae	[]
Erythroxylum ellipticum	Erythroxylaceae	[]
Erythroxylum emarginatum	Erythroxylaceae	[]
