Species	PFT
Acacia cuthbertsonii	not assigned (shrub/tree)
Acacia cyclops	not assigned (shrub/tree)
Acacia cyperophylla	not assigned (tree)
Acacia dallachiana	not assigned (tree)
Acacia dawsonii	not assigned (tree)
Acacia dealbata	not assigned (shrub/tree)
Acacia deanei	not assigned (tree)
Acacia decora	not assigned (shrub)
Acacia decurrens	not assigned (tree)
Acacia deficiens	not assigned (tree)
Acacia desmondii	not assigned (tree)
Acacia dictyoneura	not assigned (tree)
Acacia dictyophleba	not assigned (tree)
Acacia difficilis	not assigned (tree)
Acacia difformis	not assigned (tree)
Acacia dimidiata	not assigned (shrub/tree)
Acacia disparrima	not assigned (tree)
Acacia disticha	not assigned (tree)
Acacia dodonaeifolia	not assigned (tree)
Acacia doratoxylon	not assigned (shrub/tree)
Acacia drepanophylla	not assigned (tree)
Acacia drummondii	not assigned (tree)
Acacia dunnii	not assigned (tree)
Acacia durabilis	not assigned (shrub)
Acacia duriuscula	not assigned (shrub/tree)
Acacia echinula	not assigned (tree)
Acacia effusa	not assigned (shrub)
Acacia elachantha	not assigned (shrub)
Acacia elata	not assigned (tree)
Acacia elongata	not assigned (tree)
Acacia empelioclada	not assigned (shrub)
Acacia enterocarpa	not assigned (shrub)
Acacia eremophila	not assigned (shrub)
Acacia erinacea	not assigned (shrub)
Acacia eriopoda	not assigned (tree)
Acacia errabunda	not assigned (tree)
Acacia estrophiolata	not assigned (tree)
Acacia euthycarpa	not assigned (tree)
Acacia excelsa	not assigned (tree)
Acacia extensa	not assigned (tree)
Acacia falcata	not assigned (shrub)
Acacia falciformis	not assigned (tree)
Acacia farinosa	not assigned (shrub)
Acacia fasciculifera	not assigned (tree)
Acacia ferruginea	not assigned (tree)
Acacia filicifolia	not assigned (tree)
Acacia filifolia	not assigned (tree)
Acacia fimbriata	not assigned (shrub/tree)
Acacia flabellifolia	not assigned (shrub)
Acacia flavescens	not assigned (tree)
Acacia flexifolia	not assigned (tree)
Acacia flocktoniae	not assigned (tree)
Acacia floribunda	not assigned (shrub/tree)
Acacia floydii	not assigned (shrub/tree)
