Species	Woodiness
Poterium sanguisorba	herbaceous
Prunella vulgaris	herbaceous
Prunus	woody
Prunus avium	woody
Prunus mahaleb	woody
Ranunculus acris	not found
Ranunculus auricomus	not found
Ranunculus bulbosus	herbaceous
Ranunculus repens	herbaceous
Rhinanthus minor	herbaceous
Rubus	not assigned
Rubus caesius	woody
Rubus idaeus	woody
Rumex crispus	herbaceous
Salvia pratensis	herbaceous
Sambucus nigra	woody
Saxifraga granulata	not found
Scabiosa ochroleuca	not found
Senecio	not assigned
Senecio jacobaea	not found
Senecio vernalis	not found
Senecio vulgaris	herbaceous
Seseli libanotis	herbaceous
Setaria viridis	herbaceous
Silaum silaus	not found
Silene flos-cuculi	not found
Silene latifolia	herbaceous
Silene noctiflora	not found
Silene nutans	herbaceous
Silene vulgaris	herbaceous
Sinapis arvensis	herbaceous
Solanum tuberosum	herbaceous
Solidago canadensis	herbaceous
Sonchus arvensis	herbaceous
Sonchus asper	herbaceous
Sonchus oleraceus	herbaceous
Stachys recta	not found
Stellaria graminea	herbaceous
Stellaria media	not found
Tanacetum vulgare	herbaceous
Taraxacum officinale	not found
Thlaspi arvense	herbaceous
Tragopogon dubius	herbaceous
Tragopogon orientalis	not found
Tragopogon pratensis	not found
Trifolium arvense	not assigned
Trifolium campestre	herbaceous
Trifolium dubium	herbaceous
Trifolium hybridum	herbaceous
Trifolium pratense	herbaceous
Trifolium repens	herbaceous
Tripleurospermum inodorum	herbaceous
Trisetum flavescens	herbaceous
Triticum	not assigned
Tussilago farfara	herbaceous
Urtica urens	herbaceous
Verbascum lychnitis	not found
Verbascum thapsus	herbaceous
Veronica agrestis	herbaceous
Veronica arvensis	herbaceous
Veronica chamaedrys	herbaceous
Veronica hederifolia	herbaceous
Veronica persica	herbaceous
Veronica serpyllifolia	not assigned
Vicia	not assigned
Vicia cracca	herbaceous
Vicia hirsuta	herbaceous
Vicia sativa	herbaceous
Vicia sepium	not assigned
Vicia tetrasperma	not assigned
Vicia villosa	herbaceous
Viola arvensis	herbaceous
